IDCancion,IDAlbum
710,510
711,511
712,512
713,513
714,513
715,514
716,515
717,516
718,517
719,518
720,519
721,520
722,521
723,522
724,523
725,524
726,525
727,526
728,527
729,528
730,529
731,530
733,532
734,533
735,534
736,535
737,533
738,536
739,537
740,538
741,539
742,540
743,541
744,542
745,540
746,543
747,544
748,545
749,546
750,547
751,548
753,542
754,540
755,550
756,551
757,552
758,553
759,554
760,555
761,556
762,557
763,558
764,559
765,560
766,561
767,562
768,563
769,564
770,565
771,566
772,567
773,568
774,569
775,570
776,559
777,571
778,572
779,564
780,573
781,574
782,575
783,576
784,577
785,578
786,579
787,580
788,581
789,582
790,583
791,584
792,585
793,586
794,587
795,587
796,588
797,588
798,589
799,590
800,591
801,592