IDPremio,Nombre
600,Album Alternativo
634,Album alternativo o rock latino
615,Album comico
658,Album con sonido envolvente
617,Album country
621,Album cristiano
625,Album dance o electronico
622,Album de raices gospel
679,Album del año
616,Album hablado
646,Album historico 
628,Album infantil 
627,Album instrumental contemporaneo
629,Album jazzistico de conjunto grande
633,Album jazzistico improvisado
630,Album jazzistico instrumental
631,Album jazzistico latino
632,Album jazzistico vocal
635,Album latino tropical
641,Album New Age
636,Album pop o urbano latino
649,Album R&B
650,Album R&B progresivo
637,Album regional mexicano o texano
642,Album vocal de pop
643,Album vocal de pop tradicional
604,Arreglo instrumental con acompanamiento vocal
605,Arreglo instrumental o a carpeta
638,Banda sonora compilada para medio visual
639,Banda sonora para medio visual
618,Cancion country
684,Canción del Año
640,Cancion escrita para medios visuales
623,Cancion o interpretacion cristiana
624,Cancion o interpretacion gospel
651,Cancion R&B
654,Cancion Rapera
686,Colaboración de Rap
607,Compendio clasico
608,Composicion de musica clasica contemporanea
606,Composicion instrumental
601,Diseno y embalaje
602,Embalaje en caja o edicion especial limitada
626,Grabacion dance
609,Grabacion de opera
659,"Grabacion remezclada, no clasica"
610,Interpretacion coral
611,Interpretacion de conjunto musical pequeno o musica de camara
619,Interpretacion de duo o grupo country
644,Interpretacion de duo o grupo pop
683,Interpretación de duo o grupo pop con coro
687,Interpretación de duo o grupo rap
620,Interpretacion de solista country
645,Interpretacion de solista pop
682,Interpretación femenina vocal pop
680,Interpretación femenina vocal R&B
655,Interpretacion Masculina Rapera
612,Interpretacion orquesta
653,Interpretacion R&B 
652,Interpretacion R&B tradicional
613,Interpretacion vocal clasica
660,Mejor actuacion de metal
662,Mejor actuacion rock
666,Mejor album americana
665,Mejor album banda sonora o grabacion original para la pelicula o television
667,Mejor album de bluegrass
668,Mejor album de blues contemporaneo
669,Mejor album de blues tradicional
670,Mejor album de folk
671,Mejor album de Regional Roots
674,Mejor album de world music 
675,Mejor album de world music contemporaneo
664,Mejor album musical espectaculo
656,Mejor album rap
663,Mejor album rock
661,Mejor cancion rock
673,Mejor grabacion folk de musica etnica o tradicional 
672,Mejor interpretacion de american roots
676,Mejor video musical
677,Mejor video musical de formato largo
657,Mezclar album reggae
603,Notas de album
685,Nuevo Artista
647,Produccion de album clasico
648,Produccion de album clasico
678,Record del Año
614,Solista instrumental clasico